Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
IT Infrastructure & Helpdesk Staff,IT support,Any Level,N/A,"Piaggio Vietnam Co., Ltd (Pvn)","Hà nội, Vinh, Hồ Chí Minh",Negotiable,"IT Infrastructure Management, Information Security, IT Helpdesk, Network Administration, Technical Support",Vietnamworks,Không yêu cầu năm kinh nghiệm
Phát triển và Vận hành Giải pháp Công nghệ Thu hồi nợ,frontend developer,Any Level,N/A,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),Hồ Chí Minh,Negotiable,"Java, Problem Solving, Python, React Native, SQL",Vietnamworks,2 năm kinh nghiệm
Chuyên Viên Lập Trình - Phòng Quản Trị Thông Tin,backend developer,Any Level,N/A,Trường Đại Học Nguyễn Tất Thành,Hồ Chí Minh,$800.00-1500.00,"C#, .Net, SQL, ASP.NET, Lập Trình Phần Mềm",Vietnamworks,1 năm kinh nghiệm
Kỹ Sư AI,data scientist,Any Level,N/A,Công Ty TNHH Canon Việt Nam,Hà Nội,Negotiable,"TOEIC, AI/ML, Python, PyTorch, MLOps",Vietnamworks,2 năm kinh nghiệm
Senior Data Engineer ( AWS ),data engineer,Senior,N/A,GTV VIETNAM,N/A,Negotiable,"AWS Services, Python, Data Engineer, Data Modeling Expertise, Data Warehouse Systems",Vietnamworks,5 năm kinh nghiệm
Nhân Viên Kiểm Thử Phần Mềm - Junior Tester,QA engineer,Junior,N/A,"Công Ty TNHH Thiết Bị Minh Tâm (Mitalab Co., Ltd)",Hà Nội,Negotiable,"Agile, MySQL, Testing, Test Cases, SQL",Vietnamworks,Không yêu cầu năm kinh nghiệm
Chuyên Viên Phân Tích Dữ Liệu,business intelligence analyst,Any Level,N/A,Công Ty Chứng Khoán Yuanta Việt Nam,Hồ Chí Minh,$1224.49,"Power BI, Tableau, SQL, Cơ Sở Dữ Liệu, Warehouse Design",Vietnamworks,2 năm kinh nghiệm
Senior Consultant - Application Management Services - Outsystems - My,backend developer,Senior,N/A,Deloitte Consulting SEA,Hồ Chí Minh,Negotiable,"Application Support, Outsystems Platform, Analytical Skills, Leadership Skills, English Speaking",Vietnamworks,5 năm kinh nghiệm
Chuyên Viên NOC,embedded systems engineer,Any Level,N/A,Công Ty Cổ Phần Giải Pháp Công Nghệ Thông Tin Và Hạ Tầng Truyền Dẫn VinITIS,Hà Nội,Negotiable,"Autocad, Hệ Thống Điện, Quản Lý Máy Chủ, Điện Công Nghiệp, Điện Lạnh",Vietnamworks,2 năm kinh nghiệm
IT Software Developer,software developer,Any Level,N/A,"Framas Footwear Technologies Co., LTD",Đồng Nai,Negotiable,"AI, Python, Machine Learning, Digital transformation, IT Software",Vietnamworks,1 năm kinh nghiệm
Senior IT Application Specialist,IT professional,Senior,N/A,"Danieli – Industrielle Beteiligung Co., Ltd",Hồ Chí Minh,Negotiable,"ERP, Microsoft Power Platform, SharePoint, Project Management, Quản Lý Dự Án",Vietnamworks,3 năm kinh nghiệm
Senior 3D Unity Developer,software developer,Senior,N/A,Navigos Search's Client,"Hà nội, Hồ Chí Minh",$1200.00-1600.00,"Unity 3D, C#, Game Design, Team Management, Communication",Vietnamworks,3 năm kinh nghiệm
Kỹ Sư Viễn Thông & CNTT,data scientist,Any Level,N/A,Công Ty Cổ Phần Công Nghệ Tiên Phát - Tpcoms,Hồ Chí Minh,$612.24-734.69,"Network, OSI Model, Network Configuration, System Installation, English Communication",Vietnamworks,3 năm kinh nghiệm
"Chuyên Gia Quản Lý Rủi Ro An Ninh Thông Tin Cấp 2, Phòng Quản Trị Rủi Ro Hoạt Động, Khối Quản Trị Rủi Ro",data scientist,Any Level,N/A,Ngân Hàng TMCP Đại Chúng Việt Nam,Hà Nội,$1000.00-2000.00,"IT Security, Quản Trị Rủi Ro Thông Tin, An Ninh Dữ Liệu, Bảo Mật Dữ Liệu, An Ninh Thông Tin",Vietnamworks,4 năm kinh nghiệm
Mobile Developer (Tiếng Nhật N1~N4),mobile developer,Any Level,N/A,Công Ty TNHH GMO-Z.com Financial System VN,Hà Nội,$1000.00-3000.00,"Tiếng Nhật N4, Unit Testing, Android, Mobile App Development, Kotlin",Vietnamworks,Không yêu cầu năm kinh nghiệm
Fresher Thiết Kế Kịch Bản Game ($400-1000),game developer,Intern,N/A,Công Ty Cổ Phần Trò Chơi Giáo Dục Việt,Hà Nội,$400.00-1000.00,"Game Design, Viết Kịch Bản, Thiết Kế Game, Game Mobile, Game 2D",Vietnamworks,Không yêu cầu năm kinh nghiệm
Data Analyst Intern,data analyst,Intern,N/A,Công Ty Cổ Phần Giải Pháp Thanh Toán Số (MFast),Hồ Chí Minh,$8.16,"Data Analysis, Reconciliation Report, Data Checking, Report Builder, Collaboration",Vietnamworks,Không yêu cầu năm kinh nghiệm
Operational Technology Lead Engineer,software engineer,Lead/Expert,N/A,B. Braun,Hà nội,Negotiable,"Automation, Data Analysis, Electronic Communication, IT Operations, Script Language",Vietnamworks,3 năm kinh nghiệm
Nhân Viên IT - Việt Úc Bến Tre,IT professional,Any Level,N/A,Công Ty TNHH MTV Việt Úc Bến Tre,Hồ Chí Minh,$350.00-400.00,Tiếng Anh,Vietnamworks,1 năm kinh nghiệm
IT Support Engineer - Microsoft Premier Support,IT support,Any Level,N/A,ITECHWX COMPANY LIMITED,Hồ Chí Minh,$816.33-979.59,"English Language Proficiency, IT Support, Microsoft products knowledge, Customer Support, Technical Support",Vietnamworks,1 năm kinh nghiệm
Chuyên Viên Kỹ Thuật ( Nhà Máy Karofi Hưng Yên ),data scientist,Any Level,N/A,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECOMEN,Hồ Chí Minh,$571.43-693.88,"Kĩ Thuật Tự Động Hóa, Làm Việc Nhóm, Phần Mềm Thiết Kế 3D, Quản Lý Chất Lượng, Đọc Bản Vẽ Kỹ Thuật",Vietnamworks,1 năm kinh nghiệm
Nhân Viên IT Phần Mềm,IT professional,Any Level,N/A,Công Ty TNHH Khuôn Đúc Tsukuba Việt Nam,Hồ Chí Minh,Negotiable,"C#, .NET, ERP, Sap, Web API",Vietnamworks,Không yêu cầu năm kinh nghiệm
[Hot Job] Cloud Engineer (R&D Team - Upto 2000$/month),cloud engineer,Any Level,N/A,Công Ty Cổ Phần Sunteco,Hà Nội,$2000.00,"OpenStack, Kubernetes, Java, Golang, Cloud",Vietnamworks,Không yêu cầu năm kinh nghiệm
Nhân Viên Hỗ Trợ Kỹ Thuật (Presales),data scientist,Any Level,N/A,Công Ty Cổ Phần Synnex FPT,Hà Nội,Negotiable,"Cấu Hình Lưu Trữ, Giám Sát Hệ Thống Máy Chủ, LINUX, Tư Vấn Sản Phẩm, Xây Dựng Giải Pháp",Vietnamworks,1 năm kinh nghiệm
Chuyên Viên QA/QC Xây Dựng,QA engineer,Any Level,N/A,Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,Hồ Chí Minh,Negotiable,"Gia Công Áp Lực, Kiểm Soát Hồ Sơ, Làm Việc Nhóm, Quản Lý Chất Lượng, Tin Học Văn Phòng",Vietnamworks,5 năm kinh nghiệm
Manual Test Specialist,QA engineer,Any Level,N/A,Netcompany,Hồ Chí Minh,Negotiable,"Selenium, Manual Testing, Software Testing, QC, Test Case Design",Vietnamworks,1 năm kinh nghiệm
Business Development Manager,data scientist,Any Level,N/A,Công Ty Cổ Phần ITR VN,Hồ Chí Minh,Negotiable,"Business Development, Channel Relationship Management, Communication, Healthcare Industry, Technology",Vietnamworks,5 năm kinh nghiệm
Service Delivery Manager,data scientist,Any Level,N/A,Pernod Ricard Vietnam,Hồ Chí Minh,Negotiable,"Digital Strategy Planning, Technical Support, Technical Authority, Project Management, IT Operations",Vietnamworks,5 năm kinh nghiệm
Test Engineer,software engineer,Any Level,N/A,Công Ty TNHH Sagemcom Energy & Telecom,Hải Phòng,Negotiable,"Technical Support, Fintech, Product Development, Software Testing, Test",Vietnamworks,3 năm kinh nghiệm
[Up to 33Mil] - IT Support - Good English,IT support,Any Level,N/A,Navigos Search,Hồ Chí Minh,$1000.00-1200.00,"English, System Administration, IT Support, Helpdesk",Vietnamworks,2 năm kinh nghiệm
Chuyên Viên Front End,frontend developer,Any Level,N/A,Công Ty Cổ Phần Chứng Khoán KB Việt Nam,Hà Nội,$500.00-1000.00,"Front-End, JavaScript, AngularJS, CSS, RestAPI",Vietnamworks,3 năm kinh nghiệm
Nhân Viên IT,IT professional,Any Level,N/A,Công Ty Cổ Phần Thép Hòa Phát Hải Dương,Hồ Chí Minh,$489.80-571.43,"Vận Hành Máy Chủ, Quản Trị Hệ Thống Mạng, MES, Linux, Vận Hành Hệ Thống Mạng",Vietnamworks,1 năm kinh nghiệm
Digital Project Executive,IT professional,Any Level,N/A,Shinhan Vietnam Finance Company Limited,Hồ Chí Minh,Negotiable,"Project Management, Business Process Management, Mobile Apps Design, Testing, Business Transformation",Vietnamworks,3 năm kinh nghiệm
Senior IT Specialist,IT professional,Senior,N/A,"Gentherm Vietnam CO., LTD.",Hồ Chí Minh,Negotiable,"IT Helpdesk, Microsoft Office, IT Infrastructure Design, Troubleshooting, Network",Vietnamworks,Không yêu cầu năm kinh nghiệm
2D Game Artist,game developer,Any Level,N/A,Athena Studio,Hồ Chí Minh,$816.33-1224.49,"VFX, Game 2D, Photoshop, Spine 2D, UI - UX",Vietnamworks,5 năm kinh nghiệm
IT Helpdesk,IT support,Any Level,N/A,Công Ty TNHH Atec System Việt Nam,Hải Phòng,Negotiable,"IT Operations, Server Management, Network Support, Information Technology, IT Helpdesk",Vietnamworks,1 năm kinh nghiệm
Senior Consultant - Application Management Services - SAP Successfactors - My,SAP consultant,Senior,N/A,Deloitte Consulting SEA,Hồ Chí Minh,Negotiable,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",Vietnamworks,Không yêu cầu năm kinh nghiệm
Digital Project Manager,project manager,Any Level,N/A,Shinhan Vietnam Finance Company Limited,Hồ Chí Minh,Negotiable,"Project Management, Digital Banking, Mobile App, product owner, Team Management",Vietnamworks,8 năm kinh nghiệm
IT Support,IT support,Any Level,N/A,TMG Hospitality,Hà nội,$693.88-938.78,"Điện tử viễn thông, Công Nghệ Thông Tin, Quản Trị Hệ Thống, Quản Lý Server, Bảo Trì",Vietnamworks,2 năm kinh nghiệm
QA/QC Tester,QA engineer,Any Level,N/A,CT TNHH Next Wave Energy Monitoring,Hồ Chí Minh,Negotiable,"Postman, Web Service, Usability Testing, JMeter, Testing",Vietnamworks,1 năm kinh nghiệm
Superintendent SAP And Applications Development,DevOps engineer,Any Level,N/A,Masan High-Tech Materials,Thái Nguyên,Negotiable,"Microsoft Office 365, Azure Cloud Platform, Application Development, .Net Core, Web Development, Web Development, Web Development",Vietnamworks,3 năm kinh nghiệm
Associate Art Producer (Chinese & English speaking),data scientist,Any Level,N/A,Sparx* - A Virtuos Company,Hồ Chí Minh,Negotiable,"Chinese proficiency, Communication Skills, English, Production Management, Project Management",Vietnamworks,2 năm kinh nghiệm
Database Administrator,database administrator,Any Level,N/A,TL Consulting VN Co. Ltd,N/A,Negotiable,"Oracle Database Knowledge, DBA, Computer Hardware Troubleshooting, Software Troubleshooting, Computer Science",Vietnamworks,3 năm kinh nghiệm
Nhân Viên IT – Lập Trình,IT professional,Any Level,N/A,Công Ty TNHH Thủ Công Mỹ Nghệ Và Nội Thất Ngọc Sơn,Hà nội,Negotiable,"SQL, .NET, VB.NET, Lập Trình, C#",Vietnamworks,2 năm kinh nghiệm
Project Manager,project manager,Any Level,N/A,"Rochdale Spears Co., Ltd.",Bình Dương,Negotiable,"Digital transformation, Leadership, Project Management, Risk Management, Stakeholder Management",Vietnamworks,5 năm kinh nghiệm
APAC Data Analyst,data analyst,Any Level,N/A,"ENERCON VIETNAM CO., LTD.",Hồ Chí Minh,Negotiable,"Data Analysis, Data Visualization, Statistical Analysis, Excel Skills, Communication Skills",Vietnamworks,3 năm kinh nghiệm
ReactJS Developer (Front-End),frontend developer,Any Level,N/A,IIG Việt Nam,Hà Nội,$800.00-1200.00,"ReactJS, Front End, CSS, JavaScript, AngularJS",Vietnamworks,2 năm kinh nghiệm
Nhân Viên Quản Trị Mạng – Netwok Staff,network engineer,Any Level,N/A,Global Data Service Joint Stock Company (Gds),Hà nội,$591.84,"Firewall, IT System Administration, CCNA, Cấu Hình Router",Vietnamworks,1 năm kinh nghiệm
Senior Consultant | Technology Transformation (Financial Services) in HCMC & Hanoi Office,IT professional,Senior,N/A,Ernst & Young Vietnam Limited (EY Vietnam),"Hồ Chí Minh, Hà nội",Negotiable,"Core Banking, Project Managing, Payment, CRM, Fintech",Vietnamworks,2 năm kinh nghiệm
IT Engineer ( $500-$1000),software engineer,Any Level,N/A,Công Ty TNHH Nanofab Việt Nam,Hải Dương,$500.00-1000.00,"CCNA, Công nghệ thông tin, IT System Development, Kĩ Thuật Mạng, LINUX",Vietnamworks,Không yêu cầu năm kinh nghiệm
"Associate, IT/ IS",IT professional,Any Level,N/A,NAB Innovation Centre Vietnam,Hồ Chí Minh,Negotiable,"IT Helpdesk, Infrastructure Security, LAN, Windows Operating Systems, Mac",Vietnamworks,2 năm kinh nghiệm
Chuyên Viên Vận Hành Cộng Đồng (Community Manager),IT professional,Any Level,N/A,"Cipherbox Co.,ltd",Hồ Chí Minh,$500.00-800.00,,Vietnamworks,1 năm kinh nghiệm
Nhân Viên IT Helpdesk,IT support,Any Level,N/A,Công ty Cổ phần Logistics Hàng không (ALS),Hà Nội,$489.80-653.06,"Bảo Trì Hệ Thống Máy Tính, Xử Lý Sự Cố, Đọc Tiếng Anh, Lập Trình, Quản Lý Cở Sở Dữ Liệu",Vietnamworks,1 năm kinh nghiệm
Business Applications Analyst,data scientist,Any Level,N/A,The Grand Ho Tram,Vũng Tàu,Negotiable,"IT System Administration, System Analyst, Project Management",Vietnamworks,Không yêu cầu năm kinh nghiệm
Chuyên Viên IT,IT professional,Any Level,N/A,Văn Phòng Phú Thái Group,Hà Nội,Negotiable,"Hệ Thống Networks, Microsoft Power BI, MySQL, Helpdesk, Quản Trị Hệ Thống",Vietnamworks,1 năm kinh nghiệm
"Fullstack Developer (Python/golang, Java/ ReactJS)",full stack developer,Any Level,N/A,CT TNHH Next Wave Energy Monitoring,Hồ Chí Minh,Negotiable,"API, Java, ReactJs, Python, Software Development",Vietnamworks,1 năm kinh nghiệm
Chuyên Viên Cao Cấp An Ninh Ứng Dụng (Application Security Engineer),security engineer,Any Level,N/A,Công Ty Cổ Phần Chứng Khoán SSI,Hà Nội,$1300.00-2500.00,"Cybersecurity, Giao Tiếp, Penetration Testing, Secure Coding, An Ninh Ứng Dụng",Vietnamworks,1 năm kinh nghiệm
IT Salestech Business Analyst,business analyst,Any Level,N/A,Nestlé Vietnam Limited,Hồ Chí Minh,Negotiable,"Business Analysis, Product Management, Application Solution, Testing, Agile",Vietnamworks,3 năm kinh nghiệm
Tester Tiếng Hàn,QA engineer,Any Level,N/A,Snow Việt Nam,Hồ Chí Minh,$560.00,"QA, Test Cases, Software Testing, Korean Language, Quality Control",Vietnamworks,Không yêu cầu năm kinh nghiệm
[BD] Senior IT Consultant Manager,IT consultant,Senior,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,Business analysis,Vietnamworks,Không yêu cầu năm kinh nghiệm
Business Data Analyst (Based in Manila/ Philipines),data analyst,Any Level,N/A,Gamma Interactive Inc.,Hồ Chí Minh,$1000.00-1800.00,"Communication, Data Visualization, Python, SQL, Tableau",Vietnamworks,1 năm kinh nghiệm
Senior Linux and Database Administrator,database administrator,Senior,N/A,Simpson Strong-Tie Vietnam Company Limited,Hồ Chí Minh,Negotiable,"Database Administration, Database Administration, Database Administration, Linux System Administration, Shell Script, SQL Server, SQL Server, SQL Tunning",Vietnamworks,3 năm kinh nghiệm
Kỹ Sư Hạ Tầng Mạng và Bảo Mật,network engineer,Any Level,N/A,Công Ty TNHH Canon Việt Nam,Hà Nội,$500.00-1000.00,"LAN, WAN, Wireless, SCCM, Hệ Thống Antivirus",Vietnamworks,Không yêu cầu năm kinh nghiệm
"Senior Associate, Product Operations, SPX Express (prefer QA/QC Manual background)",QA engineer,Senior,N/A,CÔNG TY TNHH SPX EXPRESS,N/A,$1000.00-1300.00,"QC Systems, QC Training, Software Manual Testing, Software Testing, UAT testing",Vietnamworks,3 năm kinh nghiệm
Senior Data Engineer,data engineer,Senior,N/A,CÔNG TY CỔ PHẦN GREENFEED VIỆT NAM,Hồ Chí Minh,Negotiable,"AWS, AWS, Data Warehouse Systems, Python, SQL, SQL Server, SQL Server",Vietnamworks,3 năm kinh nghiệm
Chuyên Viên Công Nghệ Thông Tin,network engineer,Any Level,N/A,Công Ty Cổ Phần Địa Ốc Tsan Group,Hà Nội,$1000.00-1200.00,"Công Nghệ Thông Tin, IT System Administration, IT Support, Hệ Thống Mạng, LAN",Vietnamworks,Không yêu cầu năm kinh nghiệm
Chuyên Viên Quản Trị Hệ Thống Mạng Điện Thoại và Hệ Thống Camera,data scientist,Any Level,N/A,TRƯỜNG ĐẠI HỌC BÁCH KHOA ĐHQG-HCM,Hồ Chí Minh,$500.00,"Bảo Trì Hệ Thống, Giám Sát Camera, Quản Trị Hệ Thống Mạng, Công nghệ thông tin, Hạ Tầng Kỹ Thuật",Vietnamworks,1 năm kinh nghiệm
Flutter Developer (Mobile/ Windows),mobile developer,Any Level,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Flutter, Android, Android Flutter Dart, Ios/Android, OS System",Vietnamworks,Không yêu cầu năm kinh nghiệm
UX Researcher,UX/UI designer,Any Level,N/A,Techcombank,Hà Nội,$1000.00-2000.00,"Agile, Graphic Design, Photoshop, Usability Testing, UX Research",Vietnamworks,7 năm kinh nghiệm
IT Security Engineer,security engineer,Any Level,N/A,Sabeco - Tổng Công Ty Cổ Phần Bia - Rượu - Nước Giải Khát Sài Gòn,Hồ Chí Minh,Negotiable,"IT Security, IT Governance, Cyber Risk Management, IT Operations, Network Technology",Vietnamworks,Không yêu cầu năm kinh nghiệm
Experienced Automation Tester,QA engineer,Any Level,N/A,Capgemini Vietnam,Hồ Chí Minh,Negotiable,"Java, API Testing, Web Automation Testing, Ci/Cd Pipelines, Automation Test Script",Vietnamworks,4 năm kinh nghiệm
[$4000 - $5000] Software Engineering Manager (Front-End),frontend developer,Any Level,N/A,Navigos Search's Client,Hà nội,$4000.00-5000.00,"Angular, Angular, Angular, Front-End, Kotlin, Swift, Swift, Typescript",Vietnamworks,5 năm kinh nghiệm
Sharepoint Business Analyst,business analyst,Any Level,N/A,"Rochdale Spears Co., Ltd.",Bình Dương,$1000.00,"SharePoint, business analyst, Project Management, Power BI, Power Automate",Vietnamworks,3 năm kinh nghiệm
Application Engineer,software engineer,Any Level,N/A,Ascendas Systems Co. Ltd,Hà nội,Negotiable,"MATLAB, Simulink, Python, Software Development, Engineering",Vietnamworks,3 năm kinh nghiệm
Business Assistant,data analyst,Any Level,N/A,Công Ty TNHH Advantech Việt Nam Technology,Hồ Chí Minh,$448.98-571.43,"Business Management, CRM Program Management, Data Analysis, PowerBI, PowerBI",Vietnamworks,2 năm kinh nghiệm
UX Designer,UX/UI designer,Any Level,N/A,Techcombank,Hà Nội,Negotiable,"Agile, Software Prototyping, User Experience Development, Visual Design, Workshop Design",Vietnamworks,3 năm kinh nghiệm
Software Team Leader (Upto $1700),tech lead,Lead/Expert,N/A,Công Ty Cổ Phần Capella Group,Hà Nội,$1700.00,"OOP (Object Oriented Programming), ASP.NET, C#, Entity Framework, .Net",Vietnamworks,5 năm kinh nghiệm
Automation Software Tester (Selenium/ Java),QA engineer,Any Level,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Java, Selenium",Vietnamworks,Không yêu cầu năm kinh nghiệm
Full-Stack Test Manager - Salary Up to $3000,full stack developer,Any Level,N/A,FPT Software,"Hồ Chí Minh, Hà Nội, Đà Nẵng",$3000.00,"Software Testing, Java, Selenium, Agile Methodologies, C#",Vietnamworks,8 năm kinh nghiệm
Bridge Project Manager (BPM),project manager,Any Level,N/A,Vitalify Asia,Hồ Chí Minh,$2500.00,"Project Management, Japanese N2, DevOps, Kaizen",Vietnamworks,2 năm kinh nghiệm
Chuyên Viên IT Hạ Tầng,IT professional,Any Level,N/A,Công Ty Cổ Phần Tập Đoàn Thái Bình Dương,Hà Nội,$408.16-612.24,"CCNA, Cisco, Cisco, Hệ điều hành Linux, Network, Quản Trị Mạng",Vietnamworks,1 năm kinh nghiệm
Head of IT/ CS Department _ Swinburne HCM Campus (Master Degree or Higher Required),UX/UI designer,Any Level,N/A,Swinburne Vietnam (HCMC),Hồ Chí Minh,$1500.00-3000.00,"Khoa Học Máy Tính, Giáo Dục Đào Tạo, Giảng Dạy, Công Nghệ Thông Tin, AI",Vietnamworks,Không yêu cầu năm kinh nghiệm
"Kỹ Sư Dự Án (Công Nghệ Thông Tin/ Điện, Điện Tử, Viễn Thông....) / Lương Thưởng Hấp Dẫn",data engineer,Any Level,N/A,Công Ty TNHH Thiết Bị Khoa Học Và Công Nghệ Việt Nhật (Vijatech),Hà Nội,Negotiable,"Công Nghệ Thông Tin, CCNA, SQL, Điện tử viễn thông, TCP/IP",Vietnamworks,1 năm kinh nghiệm
"UI-UX Designer (Fresher, English)",UX/UI designer,Intern,N/A,Hoiio Pte Ltd,Hồ Chí Minh,Negotiable,"UI/UX, English, Design, Figma, Sketch, Sketch, Sketch, Sketch, Sketch",Vietnamworks,Không yêu cầu năm kinh nghiệm
Security Analyst,IT professional,Any Level,N/A,Trusting Social,Hồ Chí Minh,Negotiable,"SIEM, Securities, Cloud Security, Bash Shell, Python",Vietnamworks,3 năm kinh nghiệm
Rock-Star Senior DevOps Engineer Wanted! [From $1500 | Remote],DevOps engineer,Senior,N/A,Buddytrading,Hồ Chí Minh,$1500.00,"DevOps, Kubernetes, Leadership, Typescript",Vietnamworks,3 năm kinh nghiệm
Web Product Owner,product manager,Any Level,N/A,Công Ty TNHH Thời Trang Danh Giá,Hồ Chí Minh,Negotiable,"Webmaster, Numerical Analysis, Web Administration, Scrum Master, CMS",Vietnamworks,1 năm kinh nghiệm
Database Administrator,database administrator,Any Level,N/A,VSTV - Truyền Hình Vệ Tinh K+,Hà Nội,Negotiable,"Information Extraction, Oracle SQL, Python Programming, Report Writing",Vietnamworks,2 năm kinh nghiệm
Hardware Development Engineer,software engineer,Any Level,N/A,Công Ty TNHH Thiết Kế Hệ Thống Corsair,Hồ Chí Minh,Negotiable,"Hardware Testing, Computer Science, Testing, Manufacturing Engineering, English",Vietnamworks,2 năm kinh nghiệm
QA Executive,QA engineer,Any Level,N/A,Pixelz Company Limited,Hà nội,Negotiable,"Photoshop, QA, Công Nghệ Thông Tin, Tiếng Anh, Đảm Bảo Chất Lượng",Vietnamworks,1 năm kinh nghiệm
[Fresher] Nhân Viên SRE,DevOps engineer,Intern,N/A,Công Ty CP Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội,Negotiable,"Ci/Cd Methodologies, Docker, Kubernetes, Docker, Docker",Vietnamworks,1 năm kinh nghiệm
Hot Job! Regional IT Manager,IT professional,Any Level,N/A,Navigos Search's Client,Hà nội,Negotiable,"Cybersecurity, Infrastructure Management, IT Management, IT Optimization, Network Architecture",Vietnamworks,10 năm kinh nghiệm
Java Backend Senior Developer,backend developer,Senior,N/A,Capgemini Vietnam,Hồ Chí Minh,Negotiable,"AWS, AWS, Backend, Backend, Java System, SQL",Vietnamworks,4 năm kinh nghiệm
[ HO ] PWM MIS (Wealth Management),data analyst,Any Level,N/A,Shinhan Bank Vietnam,Hồ Chí Minh,Negotiable,"Analytical Skills, Detail orientation, Detail orientation, Detail orientation, Mathematics, Bachelor Of Economics/Finance, Proficient In Sql, Excel",Vietnamworks,2 năm kinh nghiệm
Chuyên Viên Lập Trình,backend developer,Any Level,N/A,Trường Đại Học Ngoại Ngữ - Tin Học Thành Phố Hồ Chí Minh,Hồ Chí Minh,Negotiable,"PHP, Java, JavaScript, Laravel, Agile Scrum",Vietnamworks,1 năm kinh nghiệm
Technical Product Manager (English),product manager,Any Level,N/A,Hoiio Pte Ltd,Hồ Chí Minh,$1000.00-1000.00,"Product Management, Project Management, Telecommunications, SaaSOps, English",Vietnamworks,2 năm kinh nghiệm
Chuyên Viên Cao Cấp Vận Hành Ứng Dụng Công Nghệ Thông Tin,data scientist,Any Level,N/A,Công Ty Cổ Phần Chứng Khoán Vndirect,"Hà Nội, Hồ Chí Minh",Negotiable,"IT System Administration, Công Nghệ Thông Tin, Tài Chính Ngân Hàng, Tiếng Anh",Vietnamworks,4 năm kinh nghiệm
Data Analyst/Strategy Planning Specialist,data analyst,Any Level,N/A,Navigos Search,Hồ Chí Minh,$1000.00-1500.00,"BI Tools, Communication, Data Analysis, Excel Proficiency, Presentation Skills",Vietnamworks,3 năm kinh nghiệm
Colour Systems Developer,software developer,Any Level,N/A,Coats Phong Phu,"Hà nội, Hồ Chí Minh",Negotiable,".Net, DevOps, JavaScript, Mobile Application, SharePoint",Vietnamworks,5 năm kinh nghiệm
MS D365 Customer Engagement Functional Consultant,backend developer,Any Level,N/A,Chi Nhánh Công Ty TNHH KPMG,Hồ Chí Minh,Negotiable,"Dynamics 365, CRM, Microsoft Power Platform",Vietnamworks,Không yêu cầu năm kinh nghiệm
Kỹ Sư Vận Hành Hệ Thống Bảo Mật,data scientist,Any Level,N/A,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",Hà Nội,$748.30-952.38,"Vận Hành Hệ Thống, Bảo Mật Hệ Thống, Hệ Thống Bảo Mật, Firewall, An Toàn Thông Tin",Vietnamworks,3 năm kinh nghiệm
Chuyên Viên Thông Tin Quản Trị Khối Tài Chính (MIS),business intelligence analyst,Any Level,N/A,Ngân Hàng TMCP Tiên Phong (Tpbank),Hồ Chí Minh,Negotiable,"Giải Pháp Thông Tin Quản Trị, Lập Trình Ứng Dụng VBA, Microsoft Power BI, SQL",Vietnamworks,1 năm kinh nghiệm
Product Executive (Vietnam),frontend developer,Any Level,N/A,Tada Technologies,Hồ Chí Minh,Negotiable,"Project Analysis, Business Analysis, Quality Assurance, UI/UX, Presentation Skills",Vietnamworks,3 năm kinh nghiệm
Oracle ERP & Finance Systems Specialist,DevOps engineer,Any Level,N/A,B.Grimm Power Vietnam,Hồ Chí Minh,$1300.00-1750.00,"Oracle ERP, PL/SQL, System Integration, Cloud Infrastructure, Microsoft Dynamics ERP",Vietnamworks,5 năm kinh nghiệm
Chuyên Viên IT (IT Support/help Desk),IT support,Any Level,N/A,Công Ty Cổ Phần Tập Đoàn Mutosi,Hà Nội,$600.00-650.00,"CCNA, Cloud, LINUX, IT System Administration, IT Support",Vietnamworks,2 năm kinh nghiệm
Senior Full Stack Engineer Cloud Marketplace,full stack developer,Senior,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Java Spring Boot, Restful Apis, Cloud Native Applications, Frontend Frameworks, Sql And No-Sql Databases",Vietnamworks,5 năm kinh nghiệm
Frontend,frontend developer,Any Level,N/A,CLEVERRADS COMPANY LIMITED,Hồ Chí Minh,$2200.00-2200.00,"CSS, HTML, JavaScript, React, Front End",Vietnamworks,5 năm kinh nghiệm
Senior Business Project Management Officer,data scientist,Senior,N/A,Trusting Social,Hồ Chí Minh,Negotiable,"Project Management, Business Strategy",Vietnamworks,6 năm kinh nghiệm
Lập Trình Viên .NET,backend developer,Any Level,N/A,Tổng Công Ty Bảo Hiểm BIDV (BIC),Hà Nội,$800.00-1500.00,"C#, .NET, SQL, Java, Oracle",Vietnamworks,1 năm kinh nghiệm
