Job Title,Role,Level,Company,Years of Experience,Location,Salary Range,Required Skills,Source Platform
SAP PAPM Consultant - AMS Project,SAP Consultant,Junior,Deloitte Consulting SEA,1,Hồ Chí Minh,Thương lượng,"SAP S/4HANA, ERP System, Analytical Thinking, Bilingual In English and Mandarin, SAP ECC 6.0",Vietnamworks
IT Business Application Engineer,software engineer,Intermediate,"SVP Vietnam Co.,Ltd",3,Hồ Chí Minh,Thương lượng,"SAP S/4HANA, MES Application, ERP, Manufactory Management",Vietnamworks
Uipath Developer,Software Developer,Any Level,Ngân Hàng TNHH Indovina – Hội Sở,N/A,Hồ Chí Minh,Thương lượng,"UI Path, RPA, Phân Tích Nghiệp Vụ, RPA Coding, Test Case Design",Vietnamworks
Microsoft Dynamics AX Software Engineer,Software Engineer,Junior,ILA Vietnam,2,Hồ Chí Minh,Thương lượng,"API Integration, ASP.NET, MS SQL, PHP, Problem Solving",Vietnamworks
IT Staff,IT professional,Junior,Panasonic Appliances Vietnam,1,Hồ Chí Minh,Thương lượng,"IT System Administration, IT Phần Mềm, C#, Full Stack Development, Lập Trình Backend",Vietnamworks
[Hanoi] UX Designer up to $2000,UX/UI Designer,Junior,Navigos Search's Client,2,Hà Nội,$61.22-81.63,"UX Design, Design systems, Agile Leadership, Figma, Communication",Vietnamworks
Trưởng Nhóm Quản Lý Phần Mềm Ứng Dụng & Cơ Sở Dữ Liệu,Database Administrator,Senior,Bệnh Viện Mắt Quốc Tế Việt - Nga,5,Hà Nội,Thương lượng,"Bảo Mật Dữ Liệu, Cơ Sở Dữ Liệu, PostgreSQL, HIS, Database SQL Server",Vietnamworks
Application Support Specialist,System Administrator,Junior,MiTek Việt Nam,2,Hồ Chí Minh,Thương lượng,"Technical Support, Application Support, ITSM, Desktop Application Support, Linux",Vietnamworks
[Hot] Giám Đốc Điều Hành Dự Án Blockchain,Blockchain Developer,Senior,Tập Đoàn Apec (Apec Group),5,Hà Nội,Thương lượng,"Blockchain technology, Blockchain, Fintech, Cryptocurrency, Cryptocurrency Trading",Vietnamworks
Kĩ Sư Quản Trị Mạng Network (Dưới 1 Năm Kinh Nghiệm),Data Scientist,Any Level,Công Ty Cổ Phần HTC Viễn Thông Quốc Tế,N/A,Hà Nội,$400.00-700.00,"Điện Tử Viễn Thông, Network, CCNA, Công Nghệ Thông Tin, Hạ Tầng Mạng",Vietnamworks
Phó Phòng - Phát Triển Ứng Dụng Core Banking,Business Analyst,Intermediate,Ngân Hàng TMCP Phát Triển TP.HCM (HDBank),3,Hồ Chí Minh,$3000.00,"Phát Triển Ứng Dụng, Tổ Chức Triển Khai, Kỹ năng đàm phán, Kỹ năng quản lý nhân sự, Giao Tiếp Tiếng Anh, Kỹ năng quản lý nhân sự",Vietnamworks
"Senior LLM Application Developer (Python, Next.js)",Software Developer,Senior,"Schiesser It, LLC",2,Hồ Chí Minh,$2000.00-4000.00,"API, LLM, Python, Next.js, React",Vietnamworks
Fresher System,DevOps Engineer,Fresher,Công Ty CP Công Nghệ Bằng Hữu (Amigo),N/A,"Hà Nội, Hồ Chí Minh",Thương lượng,"System Administration, Network Administration, IT System Administration, Cloud Storage",Vietnamworks
IT Support,IT Support,Intermediate,"Emers Vietnam Co., Ltd",3,Hồ Chí Minh,Thương lượng,"Communication, Hardware, Remote Management, Technical Support, Troubleshooting",Vietnamworks
Operation Support Executive - Mini Investigations,Data Scientist,Any Level,Crif D&B Vietnam LLC,N/A,Hồ Chí Minh,Thương lượng,"MS Office, English, Financial Support, Credit Operation, Operations Coordinating",Vietnamworks
